invoice_date,invoice_no,account_code,account_name,debit_amount,credit_amount
2022-01-09,SYS-QAR-10003,CUSA-1015,SYSCOM DISTRIBUTIONS LLC,10302,0
2022-08-09,SYS-QAR-10004,CUSA-1015,SYSCOM DISTRIBUTIONS LLC,6060,0
2024-02-18,SYS-QAR-10304,CUSA-1015,SYSCOM DISTRIBUTIONS LLC,1260,0
2024-03-20,SYS-QAR-10338,CUSA-1015,SYSCOM DISTRIBUTIONS LLC,55969,0
2022-10-20,SIV-23593,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,5317.6
2022-10-20,SIV-24249,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,23102.4
2022-10-20,SIV-24550,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,2200
2022-10-20,SIV-28339,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,36909.18
2022-10-22,SIV-28340,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,699.16
2022-10-29,SIV-28333,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,23166.68
2022-02-11,SIV-24851,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,1000
2023-01-05,SIV-26082,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,71671.68
2023-10-05,SIV-26782,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,47375
2023-10-07,SIV-27497,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,27490
2023-09-28,SIV-28617,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,540207.2
2023-12-10,SIV-28822,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,1066
2023-11-15,SIV-29222,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,23951.2
2023-11-25,SIV-29372,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,700
2023-11-27,SIV-29381,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,2713
2023-11-29,SIV-29427,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,1066
2023-06-12,SIV-29501,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,1066
2023-12-21,SIV-29511,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,46010
2024-01-29,SIV-30208,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,24000
2024-05-25,SIV-31512,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,525
2024-05-27,SIV-31521,SUPA-1001,SYSCOM DISTRIBUTIONS LLC,0,1855
