partno,qty_in,price_in
01-SSC-0429,1,4319.81
01-SSC-0639,1,1310.13
01-SSC-0709,5,81.00
01-SSC-1440,3,3834.26
01-SSC-1441,2,4828.74
01-SSC-1450,5,4241.143889
01-SSC-1451,2,5341.12
01-SSC-1460,4,5205.216667
01-SSC-1461,1,6550.8
01-SSC-1739,1,4821.6
01-SSC-1783,3,8647.6325
01-SSC-3215,1,4783.2
01-SSC-4266,1,16000
01-SSC-4838,2,1050
01-SSC-5310,8,113.196
01-SSC-5311,3,767.6333333
01-SSC-5316,5,477.456
01-SSC-5545,8,95
01-SSC-8629,2,115.1847561
01-SSC-8630,2,477.456
01-SSC-8631,5,767.634
01-SSC-9786,1,525
02-SSC-1519,1,2545.51
02-SSC-1625,1,5904.44
02-SSC-1715,1,32907.86
02-SSC-1726,1,1208.65958
02-SSC-1773,7,2305.731136
02-SSC-1867,1,1192.32
02-SSC-2264,3,1462.54
02-SSC-2462,3,547.58
02-SSC-2464,20,860.26
02-SSC-2465,2,2138.93
02-SSC-2466,15,3750.94
02-SSC-2467,2,1270.92
02-SSC-2468,20,2324.93
02-SSC-2821,17,1210.942
02-SSC-2825,7,1790.54125
02-SSC-2829,5,2706.772
02-SSC-2833,1,3930.285
02-SSC-2837,4,4827.6475
02-SSC-3069,1,85
02-SSC-4324,3,6511.666667
02-SSC-5053,2,4030.446
02-SSC-5137,2,3285.945
02-SSC-5640,6,7647.065833
02-SSC-5649,3,6123.373333
02-SSC-5659,2,8133.1
02-SSC-5660,5,10866.12
02-SSC-5661,1,9162.04
02-SSC-5662,2,6746.296667
02-SSC-5669,2,1
02-SSC-5675,3,9322.29125
02-SSC-5676,2,6451.052944
02-SSC-5685,2,9311.67
02-SSC-5686,2,7470.055
02-SSC-5687,1,10508.72
02-SSC-6444,1,1
02-SSC-6505,2,2234.705
02-SSC-6625,1,1617.2964
02-SSC-6649,1,1489.281667
02-SSC-6745,2,1091.048
02-SSC-6792,1,4367.486667
02-SSC-6794,5,5187.133948
02-SSC-6796,1,4771.977922
02-SSC-6799,2,7872.915
02-SSC-6804,1,5011.04625
02-SSC-6817,23,2719.5
02-SSC-6819,7,3131.096573
02-SSC-6820,2,3664.7552
02-SSC-6821,1,4830.29
02-SSC-6822,19,3100.160626
02-SSC-6823,4,4196.37712
02-SSC-6841,26,1905.69
02-SSC-6843,22,2252.155608
02-SSC-6844,6,2037.39
02-SSC-6845,12,3263.421429
02-SSC-6846,6,1783.82
02-SSC-6847,7,2686.970909
02-SSC-7346,3,5727.831667
02-SSC-7369,3,11976.568
02-SSC-7370,1,15887.96
02-SSC-8196,4,12674.015
02-SSC-8198,2,13042.325
02-SSC-8199,3,13703.02
02-SSC-8200,2,19619.2
02-SSC-8205,1,23632.58
02-SSC-8206,1,15861.83
02-SSC-8385,1,2
02-SSC-8675 ,1,860.28
02-SSC-8988,1,54678.86
02-SSC-9554,1,40703.42
02-SSC-9558,1,28861.3
03-SSC-1367,1,4912.6
03-SSC-1371,1,3438.82
03-SSC-1375,1,12854.63
03-SSC-1379,2,8569.75
03-SSC-2840,25,1303.578
03-SSC-2841,20,877.943
03-SSC-2976,1,15169.5
03-SSC-2985,1,61906.08
03-SSC-2988,1,99055.92
03-SSC-2997,5,2722.734
03-SSC-3005,5,4056.318
03-SSC-3012,3,5767.75
03-SSC-3019,2,8212.655
16GB DDR4,1,80.01
185579,1,0
1TB HARDDISK,4,266.3203463
202141115B,22,269.7814286
205650,1,0
228-11477,1,0
237708350,29,300
271629,1,1480.75
271629N,1,0
271631N,3,0
271678,1,1563.8
271679,1,1500.8
273733N,1,0
27599-999-999,1,801.15
300325-002,120,0
32LQ630,1,730
345956N,8,0
345959N,6,0
349595,53,0
370570,5,0
370570N,1,0
383071,3,0
383072,7,51.41545455
383072N,6,95.72
383085,27,42.41
383085N,7,0
383087,3,400.0933333
383087N,2,401.53
383092,4,0
383092N,1,45.7325
383093N,4,161.735
383094,1,341.43
383094N,1,0
383110,3944,31.03607116
383110N,2698,39.77091398
383125,2698,0
383127,1,231.28
383584,1,0
383630,1,60.675
383632,1,294.2
383633N,1,72.315
383641,6,140.37
383644N,11,18.454
383651,127,14.31795125
383651N,120,15.09945833
383658,2,81.09
383720N,12,14.54133858
392K4,1,290
393296,5,611.06976
393296N,1,0
393445,1,0
396316,6,87.79960435
396316N,7,0
396445,62,0
396445N,9,0
396447,4,0
396447N,6,1115.763591
396449,3,1441.3
396449N,3,0
396450,1,1730.01
396450N,1,0
396467,2,34.11133333
396474N,2,195.17
396476,2,134.9496111
396491N,1,195.18
400656,132,0
400-BFXP,2,0
403104,50,0
403105,3,0
403242,50,0
403248,5,178.208
403334,1,524.459
404444,300,0
404446,390,0
404448,3,0
413371N,10,35.23
413374N,10,19.22
413390N,1,0
413392N,1,0
434108,72,51.415
434120,7,1230.262857
434121,1,1126.72
500210-004,2,0
5222174-1,1,0
540-BBGX,16,272.2222222
634-BYKR,6,2466.666667
658-BEIX,1,0
700289747,167,0
700289762,1,0
700383318,110,16.01051281
700415573,6,144.0516667
700417231,1,783.825
700417413,9,387.008
700417439,14,871.8816432
700417462,9,1278.946
700427495,8,35.7136
700429202,8,57.82816349
700431778,11,195.6604615
700449473,2,2110.659314
700466683,5,40.36
700469968,1,155.62
700476021,2,480.802
700479702,9,49.11
700480643,20,211.0845
700501533,5,710.872
700501539,9,288.42
700503164,10,480.8790909
700503700,21,1555.880893
700504031,7,191.3096993
700504032,1,357.4167753
700504556,18,675.2657331
700504740,1,100
700504841,26,357.3878672
700505992,1,435
700508260,3,235
700510850,21,46
700510905,16,80
700511983,4,61.07
700512394,103,422.6687723
700512396,70,591.7229886
700512397,55,587.9109091
700512398,5,175.3482167
700512402,6,93.6
700512602,5,88.05176471
700512776,12,59.54833333
700513359,146,40.83
700513569,7,495.8209254
700513634,2,214.5655608
700513892,14,2440.330661
700513905,3,0
700513907,9,341.1830386
700513916,155,266.2996197
700514009,2,292.2579487
700514051,331,4.796227071
700514054,2,324.7970118
700514055,7,313.4349573
700514246,1,2816.410833
700514292,4,282.67
700514325,7,49.10909091
700514326,19,62.18
700514327,2,156.2809091
700514328,9,178.5972727
700514337,9,482.9182274
700514535,1,1465.415
700514685,6,1962.39
700514686,7,1456.1775
700514687,11,1405.242143
700514867,1,631.1804911
700515454,15,149.4372903
7005894747,16,0
726537-B21,3,217.05625
727250-B21,1,1900
826708-B21,3,184.35
872481-B21,2,1025
8AC4P6-0EU0,1,184
8SB1S7-WEU0,3,686.4
8SH2P7-BEU0,1,639.33
8VR1S7-0EU0,5,640
ACC3217,1,27.48
Access Point,11,0
ACCESSORIES,15,0
Acronis - Advance Backup,15,0
Acronis - Backup Workstations,30,0
Acronis Backup Solution,3,0
Acronis Hosted Cloud Storage,5,0
ADAPTOR,6,6.031666667
Additional IP Address,9,36.8
AF60-LR,2,0
A-FLEX-3,14,0
A-FLEX-NBR-STG,1,0
AGM732F,26,190.97
AIR-AP-BRACKET-1,8,0
AIR-AP-BRACKET-8,14,0
AIR-AP-T-RAIL-R,14,0
AIR-AP-T-RAIL-R=,8,0
AIR-DNA-E,2,0
AIR-DNA-E-T,16,0
AIR-DNA-E-T-3Y,16,0
